timestamp,frame,model,class,confidence
2025-04-29 00:03:58,1045,Trash,2,0.524
2025-04-29 00:03:58,1047,FishInv,11,0.913
2025-04-29 00:03:58,1049,MegaFauna,2,0.914
2025-04-29 00:03:58,1050,Trash,2,0.909
2025-04-29 00:03:58,1052,FishInv,11,0.909
2025-04-29 00:03:58,1053,MegaFauna,2,0.943
2025-04-29 00:03:58,1054,Trash,2,0.892
2025-04-29 00:03:59,1057,FishInv,11,0.888
2025-04-29 00:03:59,1060,MegaFauna,2,0.939
2025-04-29 00:03:59,1061,Trash,2,0.725
2025-04-29 00:03:59,1061,Trash,8,0.517
2025-04-29 00:03:59,1063,FishInv,11,0.896
2025-04-29 00:03:59,1064,MegaFauna,2,0.93
2025-04-29 00:03:59,1066,Trash,2,0.881
2025-04-29 00:03:59,1066,Trash,8,0.659
2025-04-29 00:04:00,1069,FishInv,11,0.9
2025-04-29 00:04:00,1070,MegaFauna,2,0.928
2025-04-29 00:04:00,1073,Trash,2,0.88
2025-04-29 00:04:00,1073,Trash,8,0.628
2025-04-29 00:04:00,1074,FishInv,11,0.906
2025-04-29 00:04:00,1076,MegaFauna,2,0.923
2025-04-29 00:04:00,1077,Trash,2,0.873
2025-04-29 00:04:01,1079,FishInv,11,0.897
2025-04-29 00:04:01,1081,MegaFauna,2,0.922
2025-04-29 00:04:01,1083,Trash,2,0.884
2025-04-29 00:04:01,1084,FishInv,11,0.885
2025-04-29 00:04:01,1086,MegaFauna,2,0.916
2025-04-29 00:04:02,1088,Trash,2,0.895
2025-04-29 00:04:02,1090,FishInv,11,0.907
2025-04-29 00:04:02,1092,MegaFauna,2,0.898
2025-04-29 00:04:02,1093,Trash,2,0.892
2025-04-29 00:04:02,1093,Trash,9,0.515
2025-04-29 00:04:02,1095,FishInv,11,0.827
2025-04-29 00:04:02,1097,MegaFauna,2,0.93
2025-04-29 00:04:03,1099,Trash,2,0.852
2025-04-29 00:04:03,1101,FishInv,11,0.871
2025-04-29 00:04:03,1104,MegaFauna,2,0.921
2025-04-29 00:04:03,1106,Trash,2,0.836
2025-04-29 00:04:03,1108,FishInv,11,0.865
2025-04-29 00:04:03,1110,MegaFauna,2,0.908
2025-04-29 00:04:04,1112,Trash,2,0.54
2025-04-29 00:04:04,1112,Trash,2,0.521
2025-04-29 00:04:04,1112,Trash,9,0.51
2025-04-29 00:04:04,1114,FishInv,11,0.903
2025-04-29 00:04:04,1117,MegaFauna,2,0.947
2025-04-29 00:04:04,1119,Trash,2,0.514
2025-04-29 00:04:04,1120,FishInv,11,0.896
2025-04-29 00:04:05,1124,MegaFauna,2,0.95
2025-04-29 00:04:05,1126,Trash,2,0.67
2025-04-29 00:04:05,1128,FishInv,11,0.839
2025-04-29 00:04:05,1130,MegaFauna,2,0.94
2025-04-29 00:04:05,1131,Trash,2,0.875
2025-04-29 00:04:05,1131,Trash,2,0.745
2025-04-29 00:04:06,1133,FishInv,11,0.872
2025-04-29 00:04:06,1136,MegaFauna,2,0.947
2025-04-29 00:04:06,1136,Trash,2,0.842
2025-04-29 00:04:06,1136,Trash,2,0.55
2025-04-29 00:04:06,1139,MegaFauna,2,0.923
2025-04-29 00:04:07,1144,MegaFauna,2,0.909
2025-04-29 00:04:09,1161,MegaFauna,2,0.719
2025-04-29 00:04:11,1177,FishInv,12,0.689
2025-04-29 00:04:12,1187,Trash,3,0.541
2025-04-29 00:04:12,1187,Trash,7,0.522
2025-04-29 00:04:14,1210,MegaFauna,2,0.78
2025-04-29 00:04:14,1213,Trash,2,0.688
2025-04-29 00:04:14,1213,Trash,2,0.538
2025-04-29 00:04:14,1216,MegaFauna,2,0.835
2025-04-29 00:04:15,1218,Trash,2,0.697
2025-04-29 00:04:15,1219,FishInv,11,0.921
2025-04-29 00:04:15,1221,MegaFauna,2,0.93
2025-04-29 00:04:15,1222,Trash,2,0.841
2025-04-29 00:04:15,1224,FishInv,11,0.897
2025-04-29 00:04:15,1226,MegaFauna,2,0.912
2025-04-29 00:04:16,1228,Trash,2,0.595
2025-04-29 00:04:16,1229,FishInv,11,0.888
2025-04-29 00:04:16,1231,MegaFauna,2,0.917
2025-04-29 00:04:16,1233,Trash,2,0.836
2025-04-29 00:04:16,1234,FishInv,11,0.891
2025-04-29 00:04:17,1237,MegaFauna,2,0.91
2025-04-29 00:04:17,1238,Trash,2,0.804
2025-04-29 00:04:17,1239,FishInv,11,0.858
2025-04-29 00:04:17,1241,MegaFauna,2,0.939
2025-04-29 00:04:17,1243,Trash,2,0.836
2025-04-29 00:04:17,1244,FishInv,11,0.848
2025-04-29 00:04:17,1246,MegaFauna,2,0.905
2025-04-29 00:04:18,1248,Trash,2,0.852
2025-04-29 00:04:18,1248,Trash,2,0.778
2025-04-29 00:04:18,1249,FishInv,11,0.825
2025-04-29 00:04:18,1251,MegaFauna,2,0.891
2025-04-29 00:04:18,1252,Trash,2,0.848
2025-04-29 00:04:18,1252,Trash,2,0.804
2025-04-29 00:04:18,1255,FishInv,11,0.881
2025-04-29 00:04:18,1257,MegaFauna,2,0.879
2025-04-29 00:04:19,1259,Trash,2,0.875
2025-04-29 00:04:19,1259,Trash,2,0.79
2025-04-29 00:04:19,1260,FishInv,11,0.887
2025-04-29 00:04:19,1262,MegaFauna,2,0.859
2025-04-29 00:04:19,1263,Trash,2,0.873
2025-04-29 00:04:19,1263,Trash,2,0.642
2025-04-29 00:04:19,1265,FishInv,11,0.808
2025-04-29 00:04:20,1268,MegaFauna,2,0.908
2025-04-29 00:04:20,1269,Trash,2,0.868
2025-04-29 00:04:20,1271,FishInv,11,0.833
2025-04-29 00:04:20,1273,MegaFauna,2,0.883
2025-04-29 00:04:20,1275,Trash,2,0.818
2025-04-29 00:04:20,1276,FishInv,11,0.857
2025-04-29 00:04:21,1278,MegaFauna,2,0.908
2025-04-29 00:04:21,1279,Trash,2,0.91
2025-04-29 00:04:21,1279,Trash,2,0.787
2025-04-29 00:04:21,1281,FishInv,11,0.875
2025-04-29 00:04:21,1282,MegaFauna,2,0.885
2025-04-29 00:04:21,1284,Trash,2,0.908
2025-04-29 00:04:21,1284,Trash,2,0.825
2025-04-29 00:04:21,1285,FishInv,11,0.858
2025-04-29 00:04:21,1287,MegaFauna,2,0.884
2025-04-29 00:04:22,1288,Trash,2,0.87
2025-04-29 00:04:22,1288,Trash,2,0.756
2025-04-29 00:04:22,1290,FishInv,11,0.839
2025-04-29 00:04:22,1291,MegaFauna,2,0.902
2025-04-29 00:04:22,1293,Trash,2,0.901
2025-04-29 00:04:22,1293,Trash,2,0.745
